part_c_domain,part_c_domain_label,part_c_item,concept_id,rationale
DM,Demographics,Enrolment setting,36304160,"Sex, birth year/month, country, inclusion date, treatment arm."
MH,Medical history,Atrial fibrillation,313217,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Atrial fibrillation type,313217,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Time since first atrial fibrillation diagnosis,2000008000,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Diagnosis of device-detected atrial fibrillation,2000000001,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Heart Failure,316139,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Arterial Hypertension,316866,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Diabetes mellitus,201820,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Prior stroke or transient ischemic attack,381316,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Coronary artery disease,317576,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Prior myocardial infarction,4329847,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Chronic kidney disease,46271022,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,End-stage renal disease,193782,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Prior major bleeding,2000005002,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,CHA2DS2-VA score,2000002000,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,CHA2DS2-VASc score,37017409,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Cardiac implantable electronic device present,2000004000,"AF characterisation, comorbidities, risk scores, prior AF therapy."
MH,Medical history,Pulmonary arterial hypertension,4013643,"AF characterisation, comorbidities, risk scores, prior AF therapy."
CM,Concomitant medication,Direct oral anticoagulant,4186985,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Vitamin K antagonist,2000012000,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Antiarrhythmic medication,4187146,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Beta-blocker,4189269,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Antiplatelet therapy,36675126,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Non-dihydropyridine calcium channel blocker,4159947,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Digoxin or digitoxin,4249287,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,ACE inhibitor or ARB,3666997,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Angiotensin receptor-neprilysin inhibitor,1588648,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Mineralocorticoid receptor antagonist,4156739,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,SGLT2 inhibitor,1123627,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Diuretic,4186999,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
CM,Concomitant medication,Lipid-lowering therapy,3170518,"OAC, antiarrhythmics, rate control, antiplatelets, HF therapy; RxNorm ingredient level."
PR,Procedures,Pulmonary vein isolation,45769227,"Ablation, cardioversion, device implantation, LAA closure."
PR,Procedures,Cavotricuspid isthmus ablation,2000003001,"Ablation, cardioversion, device implantation, LAA closure."
PR,Procedures,Electrical cardioversion,4078793,"Ablation, cardioversion, device implantation, LAA closure."
PR,Procedures,Cardiac device implantation or revision,2000003006,"Ablation, cardioversion, device implantation, LAA closure."
PR,Procedures,Coronary revascularisation,2000003007,"Ablation, cardioversion, device implantation, LAA closure."
VS,Vital signs / anthropometry,Height,3036277,"Blood pressure, heart rate, height, weight."
VS,Vital signs / anthropometry,Weight,3025315,"Blood pressure, heart rate, height, weight."
VS,Vital signs / anthropometry,Systolic blood pressure,3004249,"Blood pressure, heart rate, height, weight."
VS,Vital signs / anthropometry,Diastolic blood pressure,3012888,"Blood pressure, heart rate, height, weight."
VS,Vital signs / anthropometry,Heart rate,3027018,"Blood pressure, heart rate, height, weight."
LB,Laboratory,Creatinine,3016723,"Creatinine/eGFR, NT-proBNP, further biomarkers."
LB,Laboratory,eGFR (CKD-EPI),40764999,"Creatinine/eGFR, NT-proBNP, further biomarkers."
LB,Laboratory,NT-proBNP,3029187,"Creatinine/eGFR, NT-proBNP, further biomarkers."
LB,Laboratory,LDL cholesterol,3001308,"Creatinine/eGFR, NT-proBNP, further biomarkers."
EG,ECG parameters,Cardiac rhythm on 12-lead ECG,3022318,"Rhythm on 12-lead ECG, intervals, automated diagnosis."
AB,AF burden,Atrial fibrillation burden at baseline,2000008002,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
AB,AF burden,Baseline burden assessment modality,2000009000,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
AB,AF burden,Baseline monitoring period,2000011002,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
AB,AF burden,Atrial fibrillation burden during follow-up,2000008002,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
AB,AF burden,Follow-up burden assessment modality,2000009000,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
AB,AF burden,Follow-up monitoring period,2000011002,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
AB,AF burden,Burden estimation method,2000008003,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
