concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,CDM_table,CDM_variable,valid_for_question
0,No matching concept,Metadata,,Undefined,,No matching concept,1970-01-01,2099-12-31,death,cause_concept_id,
4171269,Atrial tachycardia,Condition,SNOMED,Disorder,S,276796006,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
4154290,Paroxysmal atrial fibrillation,Condition,SNOMED,Disorder,S,282825002,2002-01-31,2099-12-31,observation,value_as_concept_id,2000000002
4281749,Heart valve disorder,Condition,SNOMED,Disorder,S,368009,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
316866,Hypertensive disorder,Condition,SNOMED,Disorder,S,38341003,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
4139206,Sustained ventricular tachycardia,Condition,SNOMED,Disorder,S,426525004,2007-07-31,2099-12-31,condition_occurrence,condition_concept_id,
4232691,Permanent atrial fibrillation,Condition,SNOMED,Disorder,S,440028005,2009-01-31,2099-12-31,observation,value_as_concept_id,2000000002
4232697,Persistent atrial fibrillation,Condition,SNOMED,Disorder,S,440059007,2009-01-31,2099-12-31,observation,value_as_concept_id,2000000002
193782,End-stage renal disease,Condition,SNOMED,Disorder,S,46177005,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
313217,Atrial fibrillation,Condition,SNOMED,Disorder,S,49436004,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
314665,Atrial flutter,Condition,SNOMED,Disorder,S,5370000,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
317576,Coronary arteriosclerosis,Condition,SNOMED,Disorder,S,53741008,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
440417,Pulmonary embolism,Condition,SNOMED,Disorder,S,59282003,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
4275423,Supraventricular tachycardia,Condition,SNOMED,Disorder,S,6456007,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
45766164,Heart failure with reduced ejection fraction,Condition,SNOMED,Disorder,S,703272007,2014-07-31,2099-12-31,observation,value_as_concept_id,2000001003
45768480,Longstanding persistent atrial fibrillation,Condition,SNOMED,Disorder,S,706923002,2015-01-31,2099-12-31,observation,value_as_concept_id,2000000002
46271022,Chronic kidney disease,Condition,SNOMED,Disorder,S,709044004,2015-07-31,2099-12-31,condition_occurrence,condition_concept_id,
442588,Obstructive sleep apnea syndrome,Condition,SNOMED,Disorder,S,78275009,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
